time,ld,pv,c_grid_in,c_grid_out
 01/01  01:00:00,4.228018768,0,0.1337,0
 01/01  02:00:00,4.228018768,0,0.1337,0
 01/01  03:00:00,4.228018768,0,0.1337,0
 01/01  04:00:00,4.228018768,0,0.1337,0
 01/01  05:00:00,4.228018768,0,0.1337,0
 01/01  06:00:00,4.228018768,0,0.1337,0
 01/01  07:00:00,4.228018768,0,0.1337,0
 01/01  08:00:00,4.228018768,0,0.1337,0
 01/01  09:00:00,1.925018768,0.1427091,0.1781,0
 01/01  10:00:00,1.925018768,0.363213529,0.1781,0
 01/01  11:00:00,1.925018768,0.495737655,0.1781,0
 01/01  12:00:00,1.925018768,0.558637478,0.1781,0
 01/01  13:00:00,1.925018768,0.549313408,0.1781,0
 01/01  14:00:00,1.925018768,0.465237219,0.1781,0
 01/01  15:00:00,1.925018768,0.309213686,0.1781,0
 01/01  16:00:00,1.925018768,0.080437873,0.1781,0
 01/01  17:00:00,3.460352102,0,0.1781,0
 01/01  18:00:00,4.228018768,0,0.1781,0
 01/01  19:00:00,4.228018768,0,0.1781,0
 01/01  20:00:00,4.228018768,0,0.1781,0
 01/01  21:00:00,4.228018768,0,0.1781,0
 01/01  22:00:00,4.228018768,0,0.1781,0
 01/01  23:00:00,4.228018768,0,0.1781,0
 01/01  24:00:00,4.228018768,0,0.1781,0
 01/02  01:00:00,4.778024131,0,0.1337,0
 01/02  02:00:00,4.778024131,0,0.1337,0
 01/02  03:00:00,4.778024131,0,0.1337,0
 01/02  04:00:00,4.778024131,0,0.1337,0
 01/02  05:00:00,4.778024131,0,0.1337,0
 01/02  06:00:00,5.053026812,0,0.1337,0
 01/02  07:00:00,6.984504582,0,0.1337,0
 01/02  08:00:00,8.084515307,0,0.1337,0
 01/02  09:00:00,11.83157429,0.157755816,0.1781,0
 01/02  10:00:00,11.83157429,0.38934027,0.1781,0
 01/02  11:00:00,11.83157429,0.533383459,0.1781,0
 01/02  12:00:00,11.83157429,0.601674515,0.1781,0
 01/02  13:00:00,11.28156893,0.595087978,0.1781,0
 01/02  14:00:00,11.83157429,0.511293731,0.1781,0
 01/02  15:00:00,11.83157429,0.360718926,0.1781,0
 01/02  16:00:00,11.83157429,0.108859091,0.1781,0
 01/02  17:00:00,13.36690763,0,0.1781,0
 01/02  18:00:00,9.734531394,0,0.1781,0
 01/02  19:00:00,8.084515307,0,0.1781,0
 01/02  20:00:00,8.084515307,0,0.1781,0
 01/02  21:00:00,7.534509945,0,0.1781,0
 01/02  22:00:00,7.534509945,0,0.1781,0
 01/02  23:00:00,5.053026812,0,0.1781,0
 01/02  24:00:00,4.778024131,0,0.1781,0
 01/03  01:00:00,4.778024131,0,0.1337,0
 01/03  02:00:00,4.778024131,0,0.1337,0
 01/03  03:00:00,4.778024131,0,0.1337,0
 01/03  04:00:00,4.778024131,0,0.1337,0
 01/03  05:00:00,4.778024131,0,0.1337,0
 01/03  06:00:00,5.053026812,0,0.1337,0
 01/03  07:00:00,6.984504582,0,0.1337,0
 01/03  08:00:00,8.084515307,0,0.1337,0
 01/03  09:00:00,11.83157429,0.016850849,0.1781,0
 01/03  10:00:00,11.83157429,0.062990569,0.1781,0
 01/03  11:00:00,11.83238326,0.112336082,0.1781,0
 01/03  12:00:00,11.83157429,0.115672408,0.1781,0
 01/03  13:00:00,11.28156893,0.134289158,0.1781,0
 01/03  14:00:00,11.83660519,0.140773909,0.1781,0
 01/03  15:00:00,11.83157429,0.064890045,0.1781,0
 01/03  16:00:00,11.83157429,0.030599709,0.1781,0
 01/03  17:00:00,13.36690763,0,0.1781,0
 01/03  18:00:00,9.734531394,0,0.1781,0
 01/03  19:00:00,8.084515307,0,0.1781,0
 01/03  20:00:00,8.084515307,0,0.1781,0
 01/03  21:00:00,7.534509945,0,0.1781,0
 01/03  22:00:00,7.534509945,0,0.1781,0
 01/03  23:00:00,5.053026812,0,0.1781,0
 01/03  24:00:00,4.778024131,0,0.1781,0
 01/04  01:00:00,4.778024131,0,0.1337,0
 01/04  02:00:00,4.778024131,0,0.1337,0
 01/04  03:00:00,4.778024131,0,0.1337,0
 01/04  04:00:00,4.778024131,0,0.1337,0
 01/04  05:00:00,4.778024131,0,0.1337,0
 01/04  06:00:00,5.053026812,0,0.1337,0
 01/04  07:00:00,6.984504582,0,0.1337,0
 01/04  08:00:00,8.084515307,0,0.1337,0
 01/04  09:00:00,11.83157429,0.019722863,0.1781,0
 01/04  10:00:00,11.83157429,0.092450444,0.1781,0
 01/04  11:00:00,11.83157429,0.089929215,0.1781,0
 01/04  12:00:00,11.83157429,0.11642317,0.1781,0
 01/04  13:00:00,11.28156893,0.116186453,0.1781,0
 01/04  14:00:00,11.8340369,0.089508029,0.1781,0
 01/04  15:00:00,11.83157429,0.039053623,0.1781,0
 01/04  16:00:00,11.83157429,0.010377028,0.1781,0
 01/04  17:00:00,13.36690763,0,0.1781,0
 01/04  18:00:00,9.734531394,0,0.1781,0
 01/04  19:00:00,8.084515307,0,0.1781,0
 01/04  20:00:00,8.084515307,0,0.1781,0
 01/04  21:00:00,7.534509945,0,0.1781,0
 01/04  22:00:00,7.534509945,0,0.1781,0
 01/04  23:00:00,5.053026812,0,0.1781,0
 01/04  24:00:00,4.778024131,0,0.1781,0
 01/05  01:00:00,4.778024131,0,0.1337,0
 01/05  02:00:00,4.778024131,0,0.1337,0
 01/05  03:00:00,4.778024131,0,0.1337,0
 01/05  04:00:00,4.778024131,0,0.1337,0
 01/05  05:00:00,4.778024131,0,0.1337,0
 01/05  06:00:00,5.053026812,0,0.1337,0
 01/05  07:00:00,6.984504582,0,0.1337,0
 01/05  08:00:00,8.084515307,0,0.1337,0
 01/05  09:00:00,11.83157429,0.028053338,0.1781,0
 01/05  10:00:00,11.83157429,0.061897518,0.1781,0
 01/05  11:00:00,11.83157429,0.126600855,0.1781,0
 01/05  12:00:00,11.83157429,0.262854222,0.1781,0
 01/05  13:00:00,11.28156893,0.142754998,0.1781,0
 01/05  14:00:00,11.83578389,0.135907193,0.1781,0
 01/05  15:00:00,11.83639653,0.087243777,0.1781,0
 01/05  16:00:00,11.83406363,0.027004472,0.1781,0
 01/05  17:00:00,13.36690763,0,0.1781,0
 01/05  18:00:00,9.734531394,0,0.1781,0
 01/05  19:00:00,8.084515307,0,0.1781,0
 01/05  20:00:00,8.084515307,0,0.1781,0
 01/05  21:00:00,7.534509945,0,0.1781,0
 01/05  22:00:00,7.534509945,0,0.1781,0
 01/05  23:00:00,5.053026812,0,0.1781,0
 01/05  24:00:00,4.778024131,0,0.1781,0
 01/06  01:00:00,4.778024131,0,0.1337,0
 01/06  02:00:00,4.778024131,0,0.1337,0
 01/06  03:00:00,4.778024131,0,0.1337,0
 01/06  04:00:00,4.778024131,0,0.1337,0
 01/06  05:00:00,4.778024131,0,0.1337,0
 01/06  06:00:00,5.053026812,0,0.1337,0
 01/06  07:00:00,6.984504582,0,0.1337,0
 01/06  08:00:00,8.084515307,0,0.1337,0
 01/06  09:00:00,11.83157429,0.024339898,0.1781,0
 01/06  10:00:00,11.83157429,0.135396699,0.1781,0
 01/06  11:00:00,11.83157429,0.246349382,0.1781,0
 01/06  12:00:00,11.83157429,0.27963249,0.1781,0
 01/06  13:00:00,11.28156893,0.125515963,0.1781,0
 01/06  14:00:00,11.83157429,0.127079647,0.1781,0
 01/06  15:00:00,11.83432072,0.059233189,0.1781,0
 01/06  16:00:00,11.83157429,0.028139109,0.1781,0
 01/06  17:00:00,13.36690763,0,0.1781,0
 01/06  18:00:00,9.734531394,0,0.1781,0
 01/06  19:00:00,8.084515307,0,0.1781,0
 01/06  20:00:00,8.084515307,0,0.1781,0
 01/06  21:00:00,7.534509945,0,0.1781,0
 01/06  22:00:00,7.534509945,0,0.1781,0
 01/06  23:00:00,5.053026812,0,0.1781,0
 01/06  24:00:00,4.778024131,0,0.1781,0
 01/07  01:00:00,4.228018768,0,0.1337,0
 01/07  02:00:00,4.228018768,0,0.1337,0
 01/07  03:00:00,4.228018768,0,0.1337,0
 01/07  04:00:00,4.228018768,0,0.1337,0
 01/07  05:00:00,4.228018768,0,0.1337,0
 01/07  06:00:00,4.228018768,0,0.1337,0
 01/07  07:00:00,6.984504582,0,0.1337,0
 01/07  08:00:00,6.984504582,0,0.1337,0
 01/07  09:00:00,6.331520669,0.139103252,0.1781,0
 01/07  10:00:00,6.331520669,0.275402925,0.1781,0
 01/07  11:00:00,6.331520669,0.420698684,0.1781,0
 01/07  12:00:00,6.331520669,0.535375151,0.1781,0
 01/07  13:00:00,4.681504582,0.446722421,0.1781,0
 01/07  14:00:00,4.681504582,0.336929279,0.1781,0
 01/07  15:00:00,4.681504582,0.156005752,0.1781,0
 01/07  16:00:00,4.681504582,0.090854263,0.1781,0
 01/07  17:00:00,6.216837916,0,0.1781,0
